formed_in,The subject entity is created or shaped in the form or structure specified by the object entity.
forms,The subject entity creates or shapes the object entity.
facing_away_from,The subject entity is oriented in a direction opposite to the object entity.
may be,The subject entity has the potential or possibility to undergo the action or state specified by the object entity.
stacked_above,The subject entity is positioned or placed above the object entity in a stacked configuration.
aligned_with,The subject entity is positioned or arranged in conjunction with the object entity in a coordinated or parallel manner.
associated_with,"The subject entity is connected or linked to the object entity in some way, indicating a relationship or correlation between them."
increased_from,The subject entity experiences a change in value or quantity from the initial value specified by the object entity.
increased_by,The subject entity experiences a growth or expansion as a result of the action or process specified by the object entity.
coupled_to,The subject entity is connected or linked to the object entity.
within_range,The subject entity falls within the specified range or interval of the object entity.
not_used_to,The subject entity is not utilized for the purpose of causing the effect or action specified by the object entity.
disposed_over,The subject entity is positioned or located above or on top of the object entity.
constitutes,The subject entity forms or makes up a specified portion or percentage of the object entity.
diced_to,The subject entity undergoes a cutting or slicing process to create or shape the object entity.
thinned_from,The subject entity is reduced or made thinner starting from the area or surface specified by the object entity.
thinned_toward,The subject entity is reduced or made thinner moving towards the area or surface specified by the object entity.
extends_in,The subject entity stretches or reaches in the direction specified by the object entity.
seal,The subject entity closes or blocks the opening or empty space specified by the object entity.
remains,The subject entity continues to exist or be present in the specified state or condition relative to the object entity.
extends_higher_than,The subject entity reaches or surpasses a greater vertical position or level compared to the object entity.
coplanar_with,The lower surface of the subject entity is aligned or parallel with the lower surface of the object entity.
surrounds,"The subject entity encloses or encompasses the object entity, forming a boundary or outer layer around it."
extend_through,"The subject entity extends or stretches through the object entity, covering or reaching across its entirety or a significant part."
in_contact_with,The subject entity is in direct physical contact with the object entity.
protrudes_from,The subject entity extends outward or sticks out from the object entity.
intersecting,The subject entity crosses or meets the object entity at a point or line.
has,The subject entity possesses or exhibits the characteristic or property specified by the object entity.
involves,The subject action or process includes or requires the participation of the object entity.
results_in,The subject action or process leads to the creation or occurrence of the object entity.
separates,The subject entity creates a division or boundary between the two object entities.
etched selectively to,"The subject entity is selectively removed or dissolved in a way that preserves the object entity, typically to achieve a specific outcome or result."
abuts,The subject entity comes into direct contact or is in close proximity with the object entity.
planarized_to,The subject entity is made flat or leveled down to the surface specified by the object entity.
separated_from,The subject entity is placed or located apart from the object entity in a particular direction or dimension.
electrically connects,The subject entity establishes an electrical connection or pathway between the object entities.
connected_in_parallel_by,"The subject entities are linked or joined together in a parallel configuration by the object entity, allowing for simultaneous operation or connection."
isolated_by,The subject entity is separated or kept apart from the object entity by the barrier or condition specified by the relation.
extend_toward,The subject entity stretches or reaches in the direction of the object entity.
